# DAMAGE IN REGULATED ecFBA MODEL
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective minGlc
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
growth rate	superoxide production	peroxide production (m)	peroxide removal (m)	damage (m)	peroxide production (c)	peroxide transport	peroxide removal (c)	damage (c)
0.332	0.022465550179449845	0.009791823063532226	0.004766595114749445	0.0028819040523853923	0.0	0.004749757084269158	0.004749757084269158	0.0
0.336	0.021924809232124455	0.009627070817498683	0.004685787893551129	0.0026706675971270907	0.0	0.0046543043069283046	0.0046543043069283046	0.0
0.34	0.021391166669675922	0.009448112694117071	0.004590290367839848	0.00249494128144178	0.0	0.004559448424563541	0.004559448424563541	0.0
0.34400000000000003	0.020860863739044923	0.009270284190686463	0.0044953937747428995	0.0023202953576719944	0.0	0.00446518943717492	0.00446518943717492	0.0
0.34800000000000003	0.020333899048740438	0.009093587804741616	0.004401098114258864	0.0021467234392572067	0.0	0.004371527344761017	0.004371527344761017	0.0
0.352	0.01981027362449371	0.008918020942736086	0.004307403386388216	0.0019742317390215383	0.0	0.004278462147323706	0.004278462147323706	0.0
0.356	0.019289984979309335	0.008743584601098846	0.004214309591130939	0.0018028157771116417	0.0	0.004185993844861576	0.004185993844861576	0.0
0.36	0.018773035396065882	0.008570280927783638	0.004121816728487063	0.0016324735404986065	0.0	0.004094122437375113	0.004094122437375113	0.0
0.364	0.01825941563385998	0.008398105169596552	0.0040299247984565585	0.0014632052946668764	0.0	0.004002847924864299	0.004002847924864299	0.0
0.368	0.01774912967926852	0.008227061152541725	0.003938633801039435	0.0012950073741850709	0.0	0.003912170307329138	0.003912170307329138	0.0
0.372	0.017242181674750126	0.008057146767439365	0.0038479437362357104	0.0011278881398713962	0.0	0.003822089584769634	0.003822089584769634	0.0
0.376	0.01673788990181853	0.00788837069196104	0.0037578546040453655	0.0009611485178964499	0.0	0.0037326057571857906	0.0037326057571857906	0.0
0.38	0.016216286471341698	0.007720969329649374	0.0036683664044683973	0.0007743478120429493	0.0	0.0036437188245775913	0.0036437188245775913	0.0
0.384	0.01574534721096489	0.007554134407050032	0.003579479137504342	0.0006370783968648258	0.0	0.003555428786944586	0.003555428786944586	0.0
0.388	0.015399576710860572	0.007386929320012239	0.0034911928031541484	0.000625718070836093	0.0	0.0034677356442877035	0.0034677356442877035	0.0
0.392	0.015089514453099837	0.007291220111405696	0.003403506484510319	0.0005070742302884452	0.0	0.0033806393966069317	0.0033806393966069317	0.0
0.396	0.01486603806515604	0.007054066223466919	0.0033164229322943787	0.0007579056182222014	0.0	0.003294140043901369	0.003294140043901369	0.0
0.4	0.014670545715596124	0.006888546441860451	0.003229939395784318	0.0008934528318752227	0.0	0.003208237586171449	0.003208237586171449	0.0
