# NGAM GRID
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective maxGrowth
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
NGAM	phase	time	divisions	damage	glucose uptake (end)	norm. ethanol production (end)	norm. O2 uptake (end)	norm. CO2 production (end)	norm. acetate production (end)	damage formation	damage repair	status
0.0	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0002	0.02	alive
0.05	phase 1	26.400000000000105	18.0	0.03304337624942688	8.855446897804825	1.4568590982334502	0.29329128015408434	1.7726271844338561	0.02789459263290015	0.0001	0.0	alive
0.05	phase 2	73.6000000000001	9.0	0.36515035482841285	1.7449169217249645	1.3060518335450149	0.41770894398735625	1.7338863731009608	0.1247876113943123	0.0001	0.0	alive
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.0	alive
0.05	phase 1	28.000000000000128	19.0	0.04206745671534612	8.764405538867369	1.4573095814015038	0.2928926018186121	1.7726976879087994	0.02776423378127046	0.0001	0.001	dead (regular)
0.05	phase 2	24.400000000000077	9.0	0.4573659086873453	2.0045846723972507	1.362743710835158	0.38745122692235934	1.7781368712805175	0.11361445236470506	0.0001	0.001	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.001	dead (regular)
0.05	phase 1	28.000000000000128	19.0	0.04111304114705126	8.773989762919706	1.4572617210715886	0.2929349584354637	1.772690197439997	0.02777808200159834	0.0001	0.002	dead (regular)
0.05	phase 2	23.10000000000006	9.0	0.4364118427741537	2.2723765376651546	1.3689803622816163	0.3843606864764853	1.780068662841737	0.10563048822946361	0.0001	0.002	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.002	dead (regular)
0.05	phase 1	27.900000000000126	19.0	0.040187848164844116	8.78328111999243	1.4572154228606844	0.2929759325669785	1.7726829514539166	0.027791478253484506	0.0001	0.003	alive
0.05	phase 2	22.200000000000045	9.0	0.41720893924693775	2.530397554714149	1.37505750517076	0.3806915278902617	1.7815278832983985	0.09924650885836284	0.0001	0.003	alive
0.05	phase 3	8.999999999999984	0.0	0.406137968027373	1.877307992802794	1.3598072046716894	0.3887379769228749	1.7771692646360062	0.11812300895635648	0.0001	0.003	alive
0.05	phase 1	27.900000000000126	19.0	0.039282012535066274	8.792379060087708	1.4571701833106945	0.2930159697809912	1.7726758711551285	0.02780456816296215	0.0001	0.004	dead (regular)
0.05	phase 2	51.700000000000465	10.0	0.45992308101421164	1.9707058436902738	1.3619620330321562	0.38779831963950445	1.7778764556581377	0.11475954988096448	0.0001	0.004	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0001	0.004	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.037914401754816224	8.806190257424785	1.4571016857268122	0.2930765904641302	1.7726651508150661	0.02782438770521337	0.000125	0.004	dead (regular)
0.05	phase 2	42.20000000000033	10.0	0.4599622149709681	1.9702176539014689	1.3619506975772186	0.3878033702027573	1.777872718006034	0.11477637858249376	0.000125	0.004	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.004	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.03711482524575805	8.814219324338154	1.4570619636825677	0.2931117446595281	1.772658934043669	0.027835881144599083	0.000125	0.005	dead (regular)
0.05	phase 2	28.90000000000014	10.0	0.45989961117832506	1.9704400650093281	1.3619569728790013	0.38779986483338913	1.7778743300237336	0.1147678770101561	0.000125	0.005	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.005	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.03633308300965687	8.822070071966365	1.45702319691201	0.29314605356102746	1.7726528667365804	0.027847096984364116	0.000125	0.006	dead (regular)
0.05	phase 2	26.600000000000108	10.0	0.44847591111621377	2.1139315520045607	1.3652693451833928	0.38630260344227957	1.7789845465521938	0.11015411867082424	0.000125	0.006	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.006	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.03556509611606372	8.829783385815269	1.4569851682739914	0.29317970890282324	1.7726469150458726	0.027858102141922417	0.000125	0.007	dead (regular)
0.05	phase 2	25.500000000000092	10.0	0.4331269428411125	2.3132380283390277	1.3699581604643951	0.383788046990531	1.78031126871447	0.10453232452151451	0.000125	0.007	dead (regular)
0.05	phase 3	9.199999999999983	0.0	0.40615803371598624	1.9691396146615143	1.3619290201050238	0.3878108818962603	1.7778641892213927	0.1148110508371334	0.000125	0.007	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.0348178187087515	8.837288379938137	1.4569482248098706	0.29321240365329565	1.7726411332030547	0.027868795286263084	0.000125	0.008	dead (regular)
0.05	phase 2	24.500000000000078	10.0	0.416155446628266	2.5419218414901534	1.3753276519050548	0.38052649650295073	1.7815943896672772	0.09898736889065264	0.000125	0.008	dead (regular)
0.05	phase 3	3.1000000000000014	0.0	0.40598046046878766	1.9703301802798496	1.3619577518520516	0.38779738839086286	1.7778732141377949	0.11476916445524243	0.000125	0.008	dead (regular)
0.05	phase 1	26.500000000000107	18.0	0.0417606647163395	8.767232819804564	1.4572954520460846	0.29290510636445666	1.7726954765681018	0.0277683220620599	0.00015	0.008	dead (regular)
0.05	phase 2	33.80000000000021	10.0	0.45984043181548695	1.9694930549074938	1.3619383768932865	0.38780595521075983	1.7778667755143647	0.114798028527422	0.00015	0.008	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.008	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.034087174131026146	8.844627048240485	1.456912163915889	0.29324431746348645	1.7726354894442031	0.027879231766936526	0.000125	0.009	dead (regular)
0.05	phase 2	37.30000000000026	11.0	0.45985864960104567	1.9686937634761443	1.3619208914635048	0.3878130797979314	1.7778605934518465	0.11482477237853934	0.000125	0.009	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.009	dead (regular)
0.05	phase 1	26.500000000000107	18.0	0.040880818675853824	8.776071442448455	1.4572513396861877	0.29294414600995017	1.7726885726822668	0.027781085822909623	0.00015	0.009	dead (regular)
0.05	phase 2	28.600000000000136	10.0	0.4541035360263868	2.0412223523891737	1.3635993426651316	0.3870604642405166	1.7784190095993773	0.11240913056344466	0.00015	0.009	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.009	dead (regular)
0.05	phase 1	26.400000000000105	18.0	0.033372780556380904	8.851803103064858	1.4568769535688397	0.29327547828630496	1.7726299788859945	0.027889424474384188	0.000125	0.01	dead (regular)
0.05	phase 2	31.200000000000173	11.0	0.4585319943665578	1.984835028652036	1.362296297683536	0.38764507088249467	1.7779842323175612	0.11427126454765636	0.000125	0.01	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.000125	0.01	dead (regular)
0.05	phase 1	26.500000000000107	18.0	0.03835036000705312	8.801496610754747	1.4571249400912174	0.2930560102431009	1.7726687902819487	0.02781765912868116	0.00015	0.012	dead (regular)
0.05	phase 2	25.000000000000085	10.0	0.41536773569017743	2.5504081739295343	1.3755265676024773	0.38040491113125924	1.7816434712678	0.09879777444981153	0.00015	0.012	dead (regular)
0.05	phase 3	1.9000000000000006	0.0	0.40601840140088924	1.9657626464899993	1.3618562214663394	0.38783969837184273	1.7778378874264493	0.114923585055323	0.00015	0.012	dead (regular)
0.05	phase 1	28.000000000000128	19.0	0.03999258656814574	8.784861297090941	1.4572075587486268	0.2929828923449871	1.7726817206663117	0.02779375368909704	0.000125	0.013	dead (regular)
0.05	phase 2	25.500000000000092	10.0	0.41957891548658577	2.4928681846019805	1.3742024803306443	0.3812015694587345	1.7813106747501302	0.10008647992725418	0.000125	0.013	dead (regular)
0.05	phase 3	2.500000000000001	0.0	0.40617632111774643	1.9697899717369327	1.3619507795732784	0.3877969226485246	1.7778686094697655	0.11478361846628453	0.000125	0.013	dead (regular)
0.05	phase 1	26.500000000000107	18.0	0.03754648267956532	8.809575112397802	1.457084931089119	0.29309141839768343	1.7726625285996576	0.027829235596998604	0.00015	0.013	dead (regular)
0.05	phase 2	33.60000000000021	11.0	0.4594179387506495	1.9719860019813258	1.3620016990648975	0.38777428441056333	1.7778854365711318	0.11470799482161907	0.00015	0.013	dead (regular)
0.05	phase 3	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.00015	0.013	dead (regular)
0.05	phase 1	26.500000000000107	18.0	0.036760504613472716	8.817474478355955	1.457045880173048	0.29312597864242196	1.772656416864258	0.027840534838997424	0.00015	0.014	dead (regular)
