# LIFESPAN SIMULATION WITH INTEGRATED MODEL
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
# non-metabolic damage formation f0 = 0.0001
# damage repair r0 = 0.0005
# 23 division(s) with average generation time 1.595454545454556
time	growth	glucose	O2	CO2	ethanol	acetate	glycerol	pyruvate	ATP	Dformation	P	D	M	enzymeUsage	glucose(bool)	H2O2(bool)	Trx1/2(bool)	superoxide	H2O2 production
13.999999999999966	0.30045317560733675	9.152173781213584	2.694971002210079	16.22185446060299	13.321748081687318	0.2589417736940472	0.048	6.209744896068514e-8	0.7	0.0001	0.45710772470334876	0.002892275296647282	1.4668707775283212	0.03776207138783433	1.0	0.0	1.0	0.01491536059557869	0.007457680297789345
14.099999999999966	0.30045111413006576	9.152117999703538	2.6949514702981467	16.22175669022227	13.321671061179472	0.2589393951670935	0.048	6.209717007266136e-8	0.7	0.0001	0.4571032983726578	0.002896701627338238	1.5116118328356039	0.03776170570636162	1.0	0.0	1.0	0.014915151996778456	0.007457575998389228
14.199999999999966	0.30044905277649264	9.152062221540785	2.694931939558083	16.221658925708752	13.32159404529374	0.25893701678283987	0.048	6.209665848189161e-8	0.7	0.0001	0.45709887230753876	0.0029011276924573275	1.5577172148767342	0.03776134004682913	1.0	0.0	1.0	0.01491494341049283	0.007457471705246415
14.299999999999965	0.30044699105283673	9.152006414062106	2.694912424814585	16.22156110503622	13.321516957483631	0.25893465746667277	0.048	6.209629255238269e-8	0.7	0.0001	0.4562227804603694	0.003777219539626602	1.0273462511117246	0.037760974409235565	1.0	0.0	1.0	0.014914734836722017	0.0074573674183610085
14.399999999999965	0.30003899282792434	9.140966390837178	2.6910467573906725	16.202210835198407	13.306273408354713	0.25846391015673176	0.048	6.201205415834465e-8	0.7	0.0001	0.4562184072247401	0.003781592775255852	1.058637730318062	0.03768860039165355	1.0	0.0	1.0	0.014873449908635383	0.007436724954317691
14.499999999999964	0.3000369562008647	9.1409112817494	2.6910274609270206	16.20211424339823	13.306197316297002	0.25846156030161077	0.048	6.201148927686972e-8	0.7	0.0001	0.45621403425149715	0.003785965748498829	1.0908820804987867	0.037688239118308355	1.0	0.0	1.0	0.014873243824399984	0.007436621912199992
14.599999999999964	0.3000349196959856	9.140856175967514	2.691008165621152	16.202017657392137	13.306121228803512	0.25845921058748267	0.048	6.201118196713651e-8	0.7	0.0001	0.4562096615406247	0.0037903384593712948	1.1241083112038146	0.03768787786663892	1.0	0.0	1.0	0.01487303775252928	0.00743651887626464
14.699999999999964	0.3000328829737996	9.140801063230134	2.6909888688214063	16.20192105892702	13.306045130481763	0.25845686118236927	0.048	6.201069169264883e-8	0.7	0.0001	0.456205289092107	0.0037947109078889482	1.1583463149156914	0.03768751663664393	1.0	0.0	1.0	0.014872831693022504	0.007436415846511252
14.799999999999963	0.3000308475452126	9.140746006897936	2.6909695636965116	16.20182456462448	13.305969143853876	0.25845449270672477	0.048	6.201033286856727e-8	0.7	0.0001	0.45620091690592834	0.003799083094067589	1.1936268941335018	0.037687155428322086	1.0	0.0	1.0	0.014872625645878934	0.007436312822939467
14.899999999999963	0.30002881090419553	9.140690878149165	2.6909502865691466	16.201727933592487	13.305892993249053	0.2584521622960075	0.048	6.200984437043644e-8	0.7	0.0001	0.45619654498207296	0.003803455017922916	1.2299817885923638	0.037686794241672095	1.0	0.0	1.0	0.014872419611097823	0.0074362098055489115
14.999999999999963	0.3000267753906953	9.14063581847582	2.690930981188299	16.20163143317368	13.305817000819378	0.25844979426572545	0.048	6.200949442813908e-8	0.7	0.0001	0.45619217332052514	0.0038078266794706835	1.267443704360751	0.03768643307669265	1.0	0.0	1.0	0.014872213588677494	0.007436106794338747
15.099999999999962	0.3000247389418778	9.140580712453183	2.6909116873373033	16.201534846307645	13.305740910991922	0.25844744553125104	0.048	6.200905566799975e-8	0.7	0.0001	0.4561878019212691	0.0038121980787266126	1.3060463427058362	0.03768607193338245	1.0	0.0	1.0	0.014872007578619062	0.007436003789309531
15.199999999999962	0.30002270372479584	9.140525643275177	2.6908924033095825	16.20143832489676	13.30566487604051	0.2584450963885125	0.048	6.200857249893943e-8	0.7	0.0001	0.45618343078428925	0.003816569215706469	1.3458244309139193	0.0376857108117402	1.0	0.0	1.0	0.014871801580921808	0.007435900790460904
15.299999999999962	0.3000206675826518	9.14047052805873	2.6908731308909535	16.201341717591465	13.305588744158772	0.25844276653551523	0.048	6.20083095981272e-8	0.7	0.0001	0.4561790599095697	0.003820940090425963	1.386813752946484	0.0376853497117646	1.0	0.0	1.0	0.014871595595583105	0.0074357977977915525
15.399999999999961	0.30001863254745464	9.140415481294376	2.690853830059878	16.201245239790616	13.30551276951483	0.25844039907501504	0.048	6.200775715115014e-8	0.7	0.0001	0.45617468929709476	0.003825310702900849	1.4290511821567127	0.03768498863345435	1.0	0.0	1.0	0.014871389622602215	0.0074356948113011075
15.499999999999961	0.3000165966526393	9.140360372780604	2.6908345599789922	16.201148644236007	13.305436646899743	0.2584380695018489	0.048	6.200739299799807e-8	0.7	0.0001	0.45617031894684873	0.0038296810531468703	1.4725747138840908	0.03768462757680814	1.0	0.0	1.0	0.01487118366198122	0.00743559183099061
