# F0-R0 PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
damage formation	damage repair	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
0.0004	0.02	0.02	19	1.4333333333333387	16.599999999999966	13.0	0.04273820216286215	6.299999999999994	4.0	0.19153984306398278	9.599999999999982	2.0	0.2684614970331055	dead (regular)
0.0005	0.02	0.02	19	1.4333333333333387	16.599999999999966	13.0	0.0498792742015356	6.199999999999994	4.0	0.19109758941051339	9.499999999999982	2.0	0.26862226122257843	dead (regular)
0.0006	0.02	0.02	18	1.4470588235294164	15.399999999999961	12.0	0.044291303570819424	6.199999999999994	4.0	0.1921930782909301	9.799999999999981	2.0	0.268895047913652	dead (regular)
0.0007	0.02	0.02	18	1.4235294117647102	15.399999999999961	12.0	0.04984500412086376	5.999999999999995	4.0	0.18534708876077274	8.599999999999985	2.0	0.2657675917478415	dead (regular)
0.0008	0.02	0.02	17	1.468750000000004	14.099999999999966	11.0	0.042937495733149846	6.299999999999994	4.0	0.19426503687764562	10.29999999999998	2.0	0.2698140116807136	dead (regular)
0.0009	0.02	0.02	17	1.4437500000000036	14.099999999999966	11.0	0.047417203378441526	6.099999999999994	4.0	0.18902155072281254	9.299999999999983	2.0	0.26804317084818935	dead (regular)
0.001	0.02	0.02	16	1.4733333333333363	12.79999999999997	10.0	0.0397618797325438	6.299999999999994	4.0	0.19360276961617595	10.29999999999998	2.0	0.2695500649768098	dead (regular)
0.0011	0.02	0.02	16	1.4733333333333363	12.79999999999997	10.0	0.04321586775791135	6.299999999999994	4.0	0.19301113240139467	10.09999999999998	2.0	0.27007693197079086	dead (regular)
0.0012	0.02	0.02	16	1.453333333333336	12.79999999999997	10.0	0.0467081513884632	6.199999999999994	4.0	0.18954867425253058	9.499999999999982	2.0	0.26866870095277984	dead (regular)
0.0013	0.02	0.02	16	1.480000000000003	12.79999999999997	10.0	0.050178820561833065	6.299999999999994	4.0	0.19474767477109817	10.599999999999978	2.0	0.2705982390150337	dead (regular)
0.0014	0.02	0.02	14	1.36153846153846	11.499999999999975	9.0	0.04096850882825715	6.299999999999994	4.0	0.1954094979087736	3.3000000000000016	1.0	0.23943175009699247	dead (regular)
0.0015	0.02	0.02	15	1.471428571428573	11.499999999999975	9.0	0.04358951394709519	6.199999999999994	4.0	0.1897120912172547	9.499999999999982	2.0	0.2699034901764499	dead (regular)
0.0016	0.02	0.02	15	1.4785714285714302	11.499999999999975	9.0	0.046241176135911534	6.199999999999994	4.0	0.1904941387015687	9.699999999999982	2.0	0.2702656293642652	dead (regular)
