# INTERESTING ENZYMES
# from overexpression experiment 
enzyme(s)	standard name	pathway	overexpression span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status	why
SDH9,SDH1	YJL045W,YKL148C	TCA	phase 2	25	1.0869565217391304	0.8604147748724278	0.6229636529199819	23.800000000000068	16.0	0.02074340867030759	17.299999999999976	9.0	0.22078654458057007	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used less
TRX2	YGR209C	Oxidative stress	complete	24	1.0434782608695652	1.5860662511894454	0.07418659713185037	25.40000000000009	17.0	0.026116141633023934	11.099999999999977	6.0	0.21447507413768002	7.099999999999991	1.0	0.278056036692248	dead (regular)	increased lifespan and used more
TRR1	YDR353W	Oxidative stress	complete	24	1.0434782608695652	1.5860655063620845	0.07418669141518008	25.40000000000009	17.0	0.026116133517124794	11.099999999999977	6.0	0.214477595137124	7.099999999999991	1.0	0.2780593000599254	dead (regular)	increased lifespan and used more
TDH3,TDH1,TDH2	YGR192C,YJL052W,YJR009C	Glycolysis	complete	24	1.0434782608695652	1.5321821261524116	0.081698085548092	22.300000000000047	16.0	0.019223997643972146	12.299999999999972	7.0	0.23725951469362877	29.60000000000015	1.0	0.3047623323499221	dead (regular)	increased lifespan and used more
TRX1,TRX2	YLR043C,YGR209C	Oxidative stress	complete	24	1.0434782608695652	1.5860662511894454	0.07418659713185037	25.40000000000009	17.0	0.026116141633023934	11.099999999999977	6.0	0.21447507413768002	7.099999999999991	1.0	0.278056036692248	dead (regular)	increased lifespan and used more
CIT1	YNR001C	TCA	complete	25	1.0869565217391304	1.0660135691517778	1.3172522385390293	27.40000000000012	18.0	0.033914303842303845	13.999999999999966	7.0	0.21292893930841286	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
LPD1	YFL018C	Other	complete	25	1.0869565217391304	1.5640677914881354	0.1541597003965072	29.700000000000152	18.0	0.036322438514424335	16.89999999999997	7.0	0.2277624062558128	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
LAT1	YNL071W	Other	complete	25	1.0869565217391304	1.6031678466823758	0.14416637461267257	29.900000000000155	18.0	0.03666707795786489	17.59999999999998	7.0	0.22987528342287458	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
PDA1	YER178W	Other	complete	25	1.0869565217391304	1.568185576326721	0.1530424659867259	29.700000000000152	18.0	0.036449061898119015	16.99999999999997	7.0	0.22855699306058072	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
PDX1	YGR193C	Other	complete	25	1.0869565217391304	1.6031678466823758	0.14416637461267257	29.900000000000155	18.0	0.03666707795786489	17.59999999999998	7.0	0.22987528342287458	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
IDP1	YDL066W	TCA	complete	25	1.0869565217391304	1.025585871270978	3.398614837782161	27.40000000000012	18.0	0.033848945506880654	13.899999999999967	7.0	0.2125062698487064	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
PDB1	YBR221C	Other	complete	25	1.0869565217391304	1.5671373568538713	0.15332532884363612	29.800000000000153	18.0	0.03646402010556228	16.89999999999997	7.0	0.2286397209030439	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
CIT1,CIT3	YNR001C,YPR001W	TCA	complete	25	1.0869565217391304	1.0351018014649398	2.477266639035155	27.40000000000012	18.0	0.033914303842303845	14.099999999999966	7.0	0.21292214377592233	0.0	0.0	NaN	dead (overexpression)	increased lifespan and used more
PDC1	YLR044C	Anaerobic excretion	complete	26	1.1304347826086956	1.6701555248282147	0.19463360037527233	27.100000000000115	19.0	0.04144169613817517	12.099999999999973	6.0	0.2219485617835019	8.799999999999985	1.0	0.28753854341053037	dead (regular)	increased lifespan and used more
KGD1	YIL125W	TCA	complete	26	1.1304347826086956	2.555064894093793	0.08387738872126357	27.100000000000115	18.0	0.03360597490610154	13.699999999999967	7.0	0.21100357233072992	14.599999999999964	1.0	0.27278149647474814	dead (regular)	increased lifespan and used more
